"key","riskFactor.kcd","disease.kcd","pValue","RR","age","sex"
"C61 (interacts with) F33","C61","F33",3.76859868759614e-06,4.73166666666667,11,1
"C61 (interacts with) N31","C61","N31",5.30624406181903e-09,4.61306346483705,8,1
"C61 (interacts with) R43","C61","R43",8.46440661900687e-07,6.398332561371,15,1
"C73 (interacts with) C77","C73","C77",4.08104038578227e-09,5.9119804400978,10,2
"C73 (interacts with) E03","C73","E03",1.85207140886327e-37,4.03888314085177,12,2
"C73 (interacts with) E28","C73","E28",1.87237933404228e-06,4.76781430505113,7,2
"C73 (interacts with) E83","C73","E83",7.4769715745456e-23,4.89959074902446,10,2
"C73 (interacts with) K11","C73","K11",1.43347472351276e-08,5.0046919624643,11,2
"C77 (interacts with) A41","C77","A41",1.00640603822984e-05,4.26680550734699,12,1
"C77 (interacts with) C78","C77","C78",2.62985758486064e-30,37.5018832391714,8,2
"C77 (interacts with) C79","C77","C79",7.2708348504067e-30,20.4258561363264,9,2
"C77 (interacts with) D63","C77","D63",4.24599017938098e-13,11.1518976545842,10,2
"C77 (interacts with) D69","C77","D69",3.84206132169526e-07,4.85189010989011,11,2
"C77 (interacts with) M81","C77","M81",1.89396120403587e-09,4.68006329113924,7,2
"C77 (interacts with) R18","C77","R18",1.54457745397037e-05,4.11831932773109,12,1
"C78 (interacts with) C18","C78","C18",4.77410592832586e-11,6.20196105446863,11,2
"C78 (interacts with) C77","C78","C77",4.08462950239271e-13,10.7943420347231,10,2
"C78 (interacts with) C79","C78","C79",4.97770184527538e-47,34.7473537604457,9,2
"C78 (interacts with) E46","C78","E46",3.21006517063765e-07,5.00132752761257,13,2
"C78 (interacts with) E88","C78","E88",2.49818370981206e-06,4.76737855946399,11,1
"C78 (interacts with) K56","C78","K56",7.37667226272706e-07,4.19615759623175,10,1
"C78 (interacts with) N13","C78","N13",4.94050056808859e-09,6.90566336633663,10,2
"C78 (interacts with) R18","C78","R18",1.28938321160769e-14,8.23081967213115,13,2
